dataset,method,k,sigma,fold,example,unit,n_frames,k_pred,acc,nmi,ari,seconds
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,182,3,0.901099,0.782763,0.709414,0.25
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,147,3,0.979592,0.925870,0.932942,0.18
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,58,3,0.931034,0.828840,0.788644,0.05
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,180,3,0.888889,0.779188,0.707505,0.24
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,146,3,0.952055,0.865450,0.850866,0.17
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,113,3,1.000000,1.000000,1.000000,0.12
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,166,3,0.837349,0.692445,0.581491,0.22
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,147,3,0.857143,0.730562,0.603878,0.18
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,118,3,1.000000,1.000000,1.000000,0.13
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,166,3,0.897590,0.785338,0.713650,0.22
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,141,3,0.964539,0.868713,0.889940,0.17
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,90,3,0.977778,0.924189,0.933760,0.09
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,173,3,1.000000,1.000000,1.000000,0.24
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,196,3,0.826531,0.669477,0.565259,0.28
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,60,3,0.516667,0.651542,0.436386,0.05
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,200,3,0.560000,0.649013,0.448048,0.29
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,206,3,0.995146,0.976256,0.984819,0.31
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,119,3,1.000000,1.000000,1.000000,0.13
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,219,3,0.538813,0.342051,0.177030,0.36
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,168,3,1.000000,1.000000,1.000000,0.22
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,151,3,0.986755,0.944347,0.959436,0.19
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,218,3,1.000000,1.000000,1.000000,0.34
surveillance,SSC-Block-TV-Col21,3,0,0,0,0006 0013 0022,195,3,1.000000,1.000000,1.000000,0.29
